checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,health_status,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,y
<0,12,existing paid,radio/tv,1680.0,500<=X<1000,>=7,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes,good,-0.29048837562869734,0.9947967296902507,0.0616023725992538,-0.6126313538691447,0.6882030119659005,0.1508990660216174,0.06164140126899886,0.9084163546616661,0.506259012420088,0.8590959040211971,False
no checking,12,critical/other existing credit,new car,682.0,100<=X<500,4<=X<7,4,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,good,,,0.7926944189261941,,0.9152162227242066,0.5568166362456208,0.05774609046705914,0.06814501171817255,0.6681603440144783,0.36462656276145244,False
no checking,12,existing paid,furniture/equipment,1123.0,500<=X<1000,1<=X<4,4,female div/dep/mar,none,4,car,29,none,rent,1,unskilled resident,1,none,yes,bad,-0.48693419167485935,-0.9794807256686564,0.6195429748189438,-0.9978146475342968,0.010381939430270992,0.6995168952704967,0.32771170854136267,0.5436024207921814,0.9910579130541338,0.5095422202787794,False
no checking,6,existing paid,new car,3518.0,<100,1<=X<4,2,male single,guarantor,3,life insurance,26,none,rent,1,skilled,1,none,yes,good,0.8614885586022779,-0.7097994783882439,0.321877361280642,0.15224454946292257,0.9748354067595973,0.001178002218750418,0.6806090966444067,0.3435890363796845,0.6168243249426217,0.6312302930253788,False
0<=X<200,24,existing paid,furniture/equipment,3069.0,100<=X<500,>=7,4,male single,none,4,no known property,30,none,for free,1,skilled,1,none,yes,good,-0.9894157360837191,0.11923894371065041,0.8276095124877216,0.847777226418679,0.29959762433137793,0.9531810614956291,0.9704919915605084,0.9699383683420711,0.17955356583051707,0.27420824177791114,True
no checking,24,critical/other existing credit,education,1927.0,no known savings,1<=X<4,3,female div/dep/mar,none,2,car,33,none,own,2,skilled,1,yes,yes,good,-0.8694701554143948,0.8666024848286111,0.5784476215252193,0.8568443912360065,0.946761920560551,0.6221626880961895,0.06035967850008983,0.28208123685253506,0.6781817071392405,0.443447572695294,True
no checking,11,critical/other existing credit,radio/tv,1154.0,100<=X<500,unemployed,4,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,good,-0.9934369182044752,-0.885009123077886,0.8251637360915796,-0.9564553081808128,0.42478084882488587,0.5808619575266057,0.5037748941777972,0.6291324715931744,0.8716732165922012,0.6464841096891368,False
0<=X<200,24,existing paid,new car,1246.0,<100,<1,4,male single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,bad,-0.7797080023019938,0.9617822741920834,0.8115277076371297,0.8066379790012147,0.40943987744508814,0.6063780881222847,0.5392691517247922,0.1471062596623438,0.3057123435175675,0.7940628903543131,False
no checking,18,critical/other existing credit,new car,1530.0,<100,1<=X<4,3,male single,none,2,life insurance,32,bank,own,2,skilled,1,none,yes,bad,,0.840530963563892,0.6273781304203404,-0.7504281245654587,0.8977549883380289,0.14892402844891683,0.7200034231994402,0.25353158328992687,0.6927868482527004,0.4921842433880037,False
no checking,6,existing paid,domestic appliance,1338.0,500<=X<1000,1<=X<4,1,male div/sep,none,4,real estate,62,none,own,1,skilled,1,none,yes,good,-0.9977841003942204,0.1509023813916376,0.4827348961786563,0.8458408040049783,0.4776325293239013,0.4590664574935499,0.9698946071963837,0.36934313375261274,0.04857904832373117,0.8085650534264606,False
<0,12,critical/other existing credit,used car,1409.0,<100,>=7,4,male single,none,3,real estate,54,none,own,1,skilled,1,none,yes,good,-0.7154532561262573,0.5137309397811947,,0.7037026960960526,0.8560846996531118,0.22237839708608187,0.025696267759376612,0.8176739894070193,0.8552387325088268,0.16693757739479853,True
no checking,12,existing paid,radio/tv,2279.0,no known savings,1<=X<4,4,male single,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,good,-0.4967413337502605,,0.3009725656558374,0.46545538299289435,0.8689770316917064,0.8711081153894795,0.3432831680529169,0.9368260890685425,0.7936127174089908,0.43050482275460245,True
no checking,60,existing paid,radio/tv,10144.0,100<=X<500,4<=X<7,2,female div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes,good,0.9713122481977864,-0.9825773367732396,,-0.3836293743470082,0.10192702637631412,0.799292092148496,0.2476321063980762,0.10205400784090735,0.23328884050222343,0.32984617721473974,False
<0,12,existing paid,radio/tv,1107.0,<100,1<=X<4,2,male single,none,2,real estate,20,none,rent,1,high qualif/self emp/mgmt,2,yes,yes,good,0.1629170107142683,-0.20030540558033397,0.4596779489171498,-0.6384792625547254,0.21490390532618453,0.6873221057959756,0.595079987271956,0.9577415350485293,0.71991664224512,0.38559204145190695,False
no checking,24,existing paid,radio/tv,1413.0,<100,1<=X<4,4,male mar/wid,none,2,life insurance,28,none,own,1,skilled,1,none,yes,good,0.3893368652450098,0.18253273333297806,0.04855994343501985,0.3326643425556187,0.5462418149785261,0.7135800345372216,0.43844841249474265,0.3163269659965354,0.7517382328477366,0.2861804416389022,False
0<=X<200,39,delayed previously,education,11760.0,100<=X<500,4<=X<7,2,male single,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,good,-0.7071563865150983,,0.02569343998627838,0.24550254277699343,0.016989845536580783,0.9187244289858278,0.6418713746747425,0.4861673578597169,0.01497193267049901,0.4350370240596778,False
<0,12,existing paid,furniture/equipment,1289.0,<100,1<=X<4,4,male single,guarantor,1,life insurance,21,none,own,1,unskilled resident,1,none,yes,good,,0.5684578361924677,,,0.46555737932059904,0.843234230953122,0.6403575198223846,0.23626052657799346,0.9356263775364568,7.853674302071845e-05,False
0<=X<200,15,delayed previously,repairs,1512.0,>=1000,1<=X<4,3,male mar/wid,none,3,life insurance,61,stores,own,2,skilled,1,none,yes,bad,0.2272008393944695,-0.4527761183585677,0.7128914254479174,-0.8294582413366067,0.39844014628648083,0.17877928135534815,0.2043849088580877,0.20721641340517483,0.9171590411630557,0.16195249494940867,False
0<=X<200,24,existing paid,other,11328.0,<100,1<=X<4,2,male single,co applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,,,0.2451089862875116,,0.13839785827710982,0.06619793654561212,0.8306487880524509,0.44559523434810977,0.1842979053204168,0.7949969086382649,False
no checking,18,existing paid,business,1568.0,100<=X<500,1<=X<4,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,good,-0.9729640296585539,-0.998024330636497,0.2132535450879551,,0.5908002252478035,0.42976364811035817,0.41628521180531497,0.6563567634906057,0.04223742542429165,0.8302436360859999,False
no checking,18,existing paid,used car,3378.0,no known savings,1<=X<4,2,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,good,,0.08033254256614969,,-0.989717035419807,0.6698426563388417,0.6052672098231386,0.21529494042721298,0.72721572508931,0.552921749691638,0.5412707089751218,True
0<=X<200,12,existing paid,repairs,639.0,<100,1<=X<4,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,bad,-0.9381010483126376,-0.19237180830979994,0.4245351515449471,,0.7925025526844144,0.5684074625224405,0.06202704098096801,0.15405949407539254,0.7244243729538049,0.6367801848063405,True
>=200,12,existing paid,radio/tv,3399.0,no known savings,>=7,2,male single,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,-0.22252183686129534,0.5520921597830342,0.01698902818148789,,0.9142162091322212,0.9330797817102169,0.7618153039384956,0.12090287213842732,0.5814734663005493,0.6762898300752034,False
>=200,12,delayed previously,new car,2247.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes,good,0.9768670470046668,,0.014971373328438061,,0.06648874329903798,0.7673218232916363,0.44031024186073053,0.2674622422069569,0.402462889664967,0.5486639496322753,False
no checking,6,all paid,new car,783.0,no known savings,1<=X<4,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,good,0.538075187097568,0.9983658585593375,,,0.6881976567710258,0.3547135349714766,0.6867799730231801,0.40181297009551853,0.4561693494982326,0.6265664310477141,False
>=200,15,existing paid,education,1905.0,<100,>=7,4,male single,none,4,car,40,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,-0.6327828596272765,0.1279481387879929,0.3879811487241228,0.346464789398201,0.028755237641653775,0.433471633649678,0.7491887029222931,0.8137806426007146,0.9182362239456993,0.5009042790634783,False
no checking,24,existing paid,radio/tv,2397.0,500<=X<1000,>=7,3,male single,none,2,car,35,bank,own,2,skilled,1,yes,yes,bad,,-0.7014531284573491,0.7938773015570235,,0.12731366415894363,0.1693601492797433,0.42990161328246956,0.6316389881722757,0.529039807159454,0.02335359938543302,False
0<=X<200,30,critical/other existing credit,furniture/equipment,8386.0,<100,4<=X<7,2,male single,none,2,life insurance,49,none,own,1,skilled,1,none,yes,bad,,0.970828995518352,0.7383690671020471,-0.7360611427855567,0.7771558382931991,0.8376190336351352,0.10084320754417142,0.1288625104040585,0.5356860593636878,0.5457511328236393,True
no checking,24,existing paid,new car,3757.0,<100,>=7,4,female div/dep/mar,co applicant,4,no known property,62,none,for free,1,skilled,1,yes,yes,good,-0.40754622158404524,,0.5570257844168727,-0.8335753906091484,0.10103129276495426,0.9010513844724517,0.975913870855948,0.4711361518957128,0.6093770638378627,0.43387063123160197,False
no checking,15,delayed previously,furniture/equipment,960.0,>=1000,4<=X<7,3,female div/dep/mar,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good,-0.7088148637237683,-0.8190825905875969,0.04222486794922849,0.12203663757992679,0.22101713299858916,0.5744596271400945,0.48140504534898043,0.871841434915964,0.3615877561789056,0.9307530962963578,False
